ligand_name	scores
4L6Q_protein_compound1107_out.pdbqt	-9.6
4L6Q_protein_compound1108_out.pdbqt	-9.3
4L6Q_protein_compound1109_out.pdbqt	-10.2
4L6Q_protein_compound110_out.pdbqt	-10.7
4L6Q_protein_compound1110_out.pdbqt	-9.3
4L6Q_protein_compound1111_out.pdbqt	-8.4
4L6Q_protein_compound1112_out.pdbqt	-9.7
4L6Q_protein_compound1113_out.pdbqt	-9.7
4L6Q_protein_compound1114_out.pdbqt	-9.2
4L6Q_protein_compound1115_out.pdbqt	-9.7
4L6Q_protein_compound1116_out.pdbqt	-9.7
4L6Q_protein_compound1117_out.pdbqt	-8.6
4L6Q_protein_compound1118_out.pdbqt	-9.2
4L6Q_protein_compound1119_out.pdbqt	-9.6
4L6Q_protein_compound111_out.pdbqt	-11.3
4L6Q_protein_compound1120_out.pdbqt	-9.8
4L6Q_protein_compound1121_out.pdbqt	-8.7
4L6Q_protein_compound1122_out.pdbqt	-9.9
4L6Q_protein_compound1123_out.pdbqt	-9.8
4L6Q_protein_compound1124_out.pdbqt	-9.2
4L6Q_protein_compound1125_out.pdbqt	-9.6
4L6Q_protein_compound1126_out.pdbqt	-9.6
4L6Q_protein_compound1127_out.pdbqt	-8.7
4L6Q_protein_compound1128_out.pdbqt	-9.2
4L6Q_protein_compound1129_out.pdbqt	-9.2
4L6Q_protein_compound112_out.pdbqt	-10.7
4L6Q_protein_compound1130_out.pdbqt	-8.8
4L6Q_protein_compound1131_out.pdbqt	-9.4
4L6Q_protein_compound1132_out.pdbqt	-8.5
4L6Q_protein_compound1133_out.pdbqt	-9.2
4L6Q_protein_compound1134_out.pdbqt	-8.8
4L6Q_protein_compound1135_out.pdbqt	-8.7
4L6Q_protein_compound1136_out.pdbqt	-9.1
4L6Q_protein_compound1137_out.pdbqt	-9.3
4L6Q_protein_compound1138_out.pdbqt	-9.7
4L6Q_protein_compound1139_out.pdbqt	-10.6
4L6Q_protein_compound113_out.pdbqt	-10.5
4L6Q_protein_compound1140_out.pdbqt	-9.1
4L6Q_protein_compound1141_out.pdbqt	-8.8
4L6Q_protein_compound1142_out.pdbqt	-9.9
4L6Q_protein_compound1143_out.pdbqt	-8.9
4L6Q_protein_compound1144_out.pdbqt	-9.1
4L6Q_protein_compound1145_out.pdbqt	-9.6
4L6Q_protein_compound1146_out.pdbqt	-9.7
4L6Q_protein_compound1147_out.pdbqt	-9.0
4L6Q_protein_compound1148_out.pdbqt	-8.7
4L6Q_protein_compound1149_out.pdbqt	-9.6
4L6Q_protein_compound114_out.pdbqt	-11.5
4L6Q_protein_compound1150_out.pdbqt	-9.5
4L6Q_protein_compound1151_out.pdbqt	-8.1
4L6Q_protein_compound1152_out.pdbqt	-7.8
4L6Q_protein_compound1153_out.pdbqt	-9.6
4L6Q_protein_compound1154_out.pdbqt	-9.5
4L6Q_protein_compound1155_out.pdbqt	-8.7
4L6Q_protein_compound1156_out.pdbqt	-10.2
4L6Q_protein_compound1157_out.pdbqt	-10.4
4L6Q_protein_compound1158_out.pdbqt	-9.0
4L6Q_protein_compound1159_out.pdbqt	-8.9
4L6Q_protein_compound115_out.pdbqt	-10.8
4L6Q_protein_compound1160_out.pdbqt	-8.7
4L6Q_protein_compound1161_out.pdbqt	-9.4
4L6Q_protein_compound1162_out.pdbqt	-9.5
4L6Q_protein_compound1163_out.pdbqt	-10.1
4L6Q_protein_compound1164_out.pdbqt	-10.1
4L6Q_protein_compound1165_out.pdbqt	-8.2
4L6Q_protein_compound1166_out.pdbqt	-8.0
4L6Q_protein_compound1167_out.pdbqt	-8.3
4L6Q_protein_compound1168_out.pdbqt	-8.1
4L6Q_protein_compound1169_out.pdbqt	-7.7
4L6Q_protein_compound116_out.pdbqt	-10.2
4L6Q_protein_compound1170_out.pdbqt	-7.8
4L6Q_protein_compound1171_out.pdbqt	-7.7
4L6Q_protein_compound1172_out.pdbqt	-7.7
4L6Q_protein_compound1173_out.pdbqt	-8.7
4L6Q_protein_compound1174_out.pdbqt	-8.7
4L6Q_protein_compound1175_out.pdbqt	-8.6
4L6Q_protein_compound1176_out.pdbqt	-7.6
4L6Q_protein_compound1177_out.pdbqt	-7.7
4L6Q_protein_compound1178_out.pdbqt	-8.6
4L6Q_protein_compound1179_out.pdbqt	-9.0
4L6Q_protein_compound117_out.pdbqt	-10.5
4L6Q_protein_compound1180_out.pdbqt	-7.7
4L6Q_protein_compound1181_out.pdbqt	-7.6
4L6Q_protein_compound1182_out.pdbqt	-7.6
4L6Q_protein_compound1183_out.pdbqt	-7.7
4L6Q_protein_compound1184_out.pdbqt	-8.0
4L6Q_protein_compound1185_out.pdbqt	-8.0
4L6Q_protein_compound1186_out.pdbqt	-8.7
4L6Q_protein_compound1187_out.pdbqt	-8.8
4L6Q_protein_compound1188_out.pdbqt	-9.7
4L6Q_protein_compound1189_out.pdbqt	-9.7
4L6Q_protein_compound118_out.pdbqt	-10.5
4L6Q_protein_compound1190_out.pdbqt	-10.1
4L6Q_protein_compound1191_out.pdbqt	-10.1
4L6Q_protein_compound1192_out.pdbqt	-9.5
4L6Q_protein_compound1193_out.pdbqt	-9.8
4L6Q_protein_compound1194_out.pdbqt	-10.7
4L6Q_protein_compound1195_out.pdbqt	-10.3
4L6Q_protein_compound1196_out.pdbqt	-9.8
4L6Q_protein_compound1197_out.pdbqt	-10.5
4L6Q_protein_compound1198_out.pdbqt	-10.1
4L6Q_protein_compound1199_out.pdbqt	-9.6
4L6Q_protein_compound119_out.pdbqt	-9.9
4L6Q_protein_compound11_out.pdbqt	-9.1
4L6Q_protein_compound1200_out.pdbqt	-9.6
4L6Q_protein_compound1201_out.pdbqt	-10.0
4L6Q_protein_compound1202_out.pdbqt	-9.8
4L6Q_protein_compound1203_out.pdbqt	-10.4
4L6Q_protein_compound1204_out.pdbqt	-10.6
4L6Q_protein_compound1205_out.pdbqt	-10.7
4L6Q_protein_compound1206_out.pdbqt	-10.7
4L6Q_protein_compound1207_out.pdbqt	-8.7
4L6Q_protein_compound1208_out.pdbqt	-10.1
4L6Q_protein_compound1209_out.pdbqt	-9.2
4L6Q_protein_compound120_out.pdbqt	-10.0
4L6Q_protein_compound1210_out.pdbqt	-9.6
4L6Q_protein_compound1211_out.pdbqt	-9.9
4L6Q_protein_compound1212_out.pdbqt	-10.5
4L6Q_protein_compound1213_out.pdbqt	-9.1
4L6Q_protein_compound1214_out.pdbqt	-10.6
4L6Q_protein_compound1215_out.pdbqt	-10.8
4L6Q_protein_compound1216_out.pdbqt	-9.5
4L6Q_protein_compound1217_out.pdbqt	-10.7
4L6Q_protein_compound1218_out.pdbqt	-10.3
4L6Q_protein_compound1219_out.pdbqt	-9.4
4L6Q_protein_compound121_out.pdbqt	-10.7
4L6Q_protein_compound1220_out.pdbqt	-10.0
4L6Q_protein_compound1221_out.pdbqt	-11.0
4L6Q_protein_compound1222_out.pdbqt	-10.2
4L6Q_protein_compound1223_out.pdbqt	-9.9
4L6Q_protein_compound1224_out.pdbqt	-9.7
4L6Q_protein_compound1225_out.pdbqt	-9.5
4L6Q_protein_compound1226_out.pdbqt	-8.8
4L6Q_protein_compound1227_out.pdbqt	-10.3
4L6Q_protein_compound1228_out.pdbqt	-10.0
4L6Q_protein_compound1229_out.pdbqt	-8.9
4L6Q_protein_compound122_out.pdbqt	-11.2
4L6Q_protein_compound1230_out.pdbqt	-9.1
4L6Q_protein_compound1231_out.pdbqt	-8.9
4L6Q_protein_compound1232_out.pdbqt	-8.8
4L6Q_protein_compound1233_out.pdbqt	-9.1
4L6Q_protein_compound1234_out.pdbqt	-9.1
4L6Q_protein_compound1235_out.pdbqt	-9.0
4L6Q_protein_compound1236_out.pdbqt	-9.0
4L6Q_protein_compound1237_out.pdbqt	-9.2
4L6Q_protein_compound1238_out.pdbqt	-9.1
4L6Q_protein_compound1239_out.pdbqt	-9.3
4L6Q_protein_compound123_out.pdbqt	-10.2
4L6Q_protein_compound1240_out.pdbqt	-9.5
4L6Q_protein_compound1241_out.pdbqt	-9.7
4L6Q_protein_compound1242_out.pdbqt	-9.7
4L6Q_protein_compound1243_out.pdbqt	-8.9
4L6Q_protein_compound1244_out.pdbqt	-9.3
4L6Q_protein_compound1245_out.pdbqt	-9.2
4L6Q_protein_compound1246_out.pdbqt	-9.0
4L6Q_protein_compound1247_out.pdbqt	-9.5
4L6Q_protein_compound1248_out.pdbqt	-9.3
4L6Q_protein_compound1249_out.pdbqt	-9.4
4L6Q_protein_compound124_out.pdbqt	-10.5
4L6Q_protein_compound1250_out.pdbqt	-8.9
4L6Q_protein_compound1251_out.pdbqt	-8.8
4L6Q_protein_compound1252_out.pdbqt	-8.7
4L6Q_protein_compound1253_out.pdbqt	-9.7
4L6Q_protein_compound1254_out.pdbqt	-10.0
4L6Q_protein_compound1255_out.pdbqt	-9.9
4L6Q_protein_compound1256_out.pdbqt	-10.1
4L6Q_protein_compound1257_out.pdbqt	-9.9
4L6Q_protein_compound1258_out.pdbqt	-9.5
4L6Q_protein_compound1259_out.pdbqt	-8.9
4L6Q_protein_compound125_out.pdbqt	-10.0
4L6Q_protein_compound1260_out.pdbqt	-9.7
4L6Q_protein_compound1261_out.pdbqt	-9.6
4L6Q_protein_compound1262_out.pdbqt	-9.5
4L6Q_protein_compound1263_out.pdbqt	-9.9
4L6Q_protein_compound1264_out.pdbqt	-10.3
4L6Q_protein_compound1265_out.pdbqt	-8.3
4L6Q_protein_compound1266_out.pdbqt	-8.7
4L6Q_protein_compound1267_out.pdbqt	-8.6
4L6Q_protein_compound1268_out.pdbqt	-8.9
4L6Q_protein_compound1269_out.pdbqt	-8.9
4L6Q_protein_compound126_out.pdbqt	-9.8
4L6Q_protein_compound1270_out.pdbqt	-10.5
4L6Q_protein_compound1271_out.pdbqt	-10.8
4L6Q_protein_compound1272_out.pdbqt	-9.9
4L6Q_protein_compound1273_out.pdbqt	-10.1
4L6Q_protein_compound1274_out.pdbqt	-9.4
4L6Q_protein_compound1275_out.pdbqt	-10.8
4L6Q_protein_compound1276_out.pdbqt	-9.3
4L6Q_protein_compound1277_out.pdbqt	-10.0
4L6Q_protein_compound1278_out.pdbqt	-8.7
