SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
Cc1c2c([nH]c(CNc3ncnc(c34)n(c5ncccn5)nc4)n2)ccc1,357.38100000000003,0.24831415366481602,4,0.3333333333333333,2,0.25,8,0.6666666666666666,0,0.0,1.9204199999999996,0.38637404042538165
c1cc(CNc2nc(N)nc(n3nccc3)c2)c(n4cncc4)cc1,332.37100000000004,0.17073730574769702,5,0.4166666666666667,2,0.25,8,0.6666666666666666,0,0.0,2.0423,0.4042567551705516
Cc1c(NCc2nc(N)ccn2)nn(c3c1C)c(C(F)(F)F)nn3,338.297,0.1891187691925929,4,0.3333333333333333,2,0.25,8,0.6666666666666666,0,0.0,1.7442399999999998,0.36052421532032736
CC(c1nn2c([C@H](Nc3nc(N)nc(n4nccc4)c3)CCC2)n1)C,339.40700000000015,0.19256180402617995,4,0.3333333333333333,2,0.25,9,0.7777777777777778,0,0.0,1.9063999999999994,0.38431697067868587
CC(c1nn2c([C@@H](Nc3nc(N)nc(n4nccc4)c3)CCC2)n1)C,339.40700000000015,0.19256180402617995,4,0.3333333333333333,2,0.25,9,0.7777777777777778,0,0.0,1.9063999999999994,0.38431697067868587
c1cc2c(nc(CSc3n(C4CC4)c(CO)nn3)nc2N)cc1,328.401,0.15842302800955368,5,0.4166666666666667,2,0.25,8,0.6666666666666666,0,0.0,1.9229999999999998,0.386752588210437
Cc1nn(C)cc1[C@H]2n3c(ncn3)NC(C)=C2C(Nc4ccccc4)=O,349.3980000000001,0.223552219361643,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.2476200000000004,0.434382116111463
Cc1n(C)ncc1[C@@H]2n3c(ncn3)NC(C)=C2C(Nc4ccccc4)=O,349.3980000000001,0.223552219361643,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.2476200000000004,0.434382116111463
Cc1n(C)ncc1[C@H]2n3c(ncn3)NC(C)=C2C(Nc4ccccc4)=O,349.3980000000001,0.223552219361643,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.2476200000000004,0.434382116111463
Cc1nn(C)cc1[C@@H]2n3c(ncn3)NC(C)=C2C(Nc4ccccc4)=O,349.3980000000001,0.223552219361643,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.2476200000000004,0.434382116111463
c1c(CNN2C(=S)NN=C2c3ccncc3)cc4c(OCO4)c1,327.36900000000014,0.15522193616427354,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,1.9931899999999994,0.39705114209920844
Cc1c(NC(C([C@@H](c2cnccc2)n(c3N4)nnn3)=C4C)=O)cccc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1ccc(NC(C([C@@H](c2cnccc2)n(c3N4)nnn3)=C4C)=O)cc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1ccc(NC(C([C@H](c2cnccc2)n(c3N4)nnn3)=C4C)=O)cc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1c(NC(C([C@H](c2ncccc2)n(c3N4)nnn3)=C4C)=O)cccc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1c(NC(C([C@@H](c2ncccc2)n(c3N4)nnn3)=C4C)=O)cccc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1c(NC(C([C@H](c2cnccc2)n(c3N4)nnn3)=C4C)=O)cccc1,347.3820000000001,0.21729892366388573,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.30412,0.4426720191562783
Cc1nc(n2ncc([N+]([O-])=O)c2)nc(Nc3ccc(C(N)=O)cc3)c1,339.3150000000001,0.192276435373306,5,0.4166666666666667,2,0.25,8,0.6666666666666666,0,0.0,1.72142,0.35717597483390817
Cc1cc2n(c(C(NC(c3sc(N)nn3)(C)C)=O)c(C)n2)cc1,330.4170000000001,0.1646763237073113,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,2.04994,0.4053777261309478
CC(Nc1n(nnn1)[C@@H]2c3ccccc3)=C2C(Nc4ncccc4)=O,333.3550000000001,0.17378950960017395,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,1.9956999999999996,0.397419419207925
CC(Nc1n(nnn1)[C@H]2c3ccccc3)=C2C(Nc4ncccc4)=O,333.3550000000001,0.17378950960017395,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,1.9956999999999996,0.397419419207925
CC(Nc1n(nnn1)[C@@H]2c3ccccc3)=C2C(Nc4cnccc4)=O,333.3550000000001,0.17378950960017395,4,0.3333333333333333,2,0.25,7,0.5555555555555556,0,0.0,1.9956999999999996,0.397419419207925
