SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
CC[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)=O)CC,512.6390000000004,0.7298985700549036,11,0.9166666666666666,4,0.75,10,0.8888888888888888,1,0.5,1.7217000000000007,0.3572170575392631
CC(c1c(O)c(C(C)(C)C)cc(\C=N\NC(c2nnn(c3nonc3N)c2C[NH+](C)C)=O)c1)(C)C,484.58500000000026,0.64287974192748,9,0.75,4,0.75,10,0.8888888888888888,1,0.5,0.9415000000000011,0.24274303354696328
CC[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3cc(Br)c(O)c(OC)c3)=O)CC,509.34500000000025,0.7196811315487461,10,0.8333333333333334,4,0.75,11,1.0,1,0.5,-0.10219999999999874,0.08960724933680769
CC[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3cc(Br)c(O)c(OCC)c3)=O)CC,523.3720000000003,0.7631905456124579,11,0.9166666666666666,4,0.75,11,1.0,1,0.5,0.28790000000000115,0.1468442613329576
C[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3ccc(OCc4c(Cl)cccc4F)cc3)=O)C,514.9290000000002,0.7370017680449152,10,0.8333333333333334,3,0.5,10,0.8888888888888888,1,0.5,1.0124000000000013,0.25314576143859885
CC[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3oc(c4ccc(Br)cc4)cc3)=O)CC,529.3790000000001,0.7818232575452096,10,0.8333333333333334,3,0.5,10,0.8888888888888888,1,0.5,1.4436000000000009,0.3164131276850481
C[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3c(OCc4c(Cl)cccc4F)cccc3)=O)C,514.9290000000002,0.7370017680449152,10,0.8333333333333334,3,0.5,10,0.8888888888888888,1,0.5,1.0124000000000013,0.25314576143859885
CC([NH+](C1CC(CCc2nc(c3[nH]2)ccc(C(C)(C)C)c3)C1)C[C@H]4O[C@@H](n5c6c(c(N)ncn6)nc5)[C@H](O)[C@@H]4O)C,563.7270000000003,0.8883650237290249,9,0.75,5,1.0,9,0.7777777777777778,1,0.5,1.4243000000000003,0.3135813554945181
CC[NH+](Cc1nnn(c2nonc2N)c1C(N\N=C\c3cc(Br)c(O)c(OC)c3)=O)CC,509.34500000000025,0.7196811315487461,10,0.8333333333333334,4,0.75,11,1.0,1,0.5,-0.10219999999999874,0.08960724933680769
C[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3cc(OCc4c(Cl)cccc4F)ccc3)=O)C,514.9290000000002,0.7370017680449152,10,0.8333333333333334,3,0.5,10,0.8888888888888888,1,0.5,1.0124000000000013,0.25314576143859885
CC(Nc1ccc(C[NH+]2[C@H](C(Nc3cc(SC)ccc3)=O)C[C@H](n4nnc(C(OC)=O)c4)C2)cc1)=O,509.6120000000003,0.7205093210087171,11,0.9166666666666666,3,0.5,8,0.6666666666666666,1,0.5,1.7821999999999996,0.3660938563748617
CCCN1C(=O)NC(=O)C(C(CSc2n(c3ccc(Cl)cc3)c([C@@H]([NH+](C)C)C)nn2)=O)=C1N,493.0130000000002,0.6690219919972711,9,0.75,3,0.5,9,0.7777777777777778,1,0.5,0.46150000000000035,0.17231553865295654
CCCN1C(=O)NC(=O)C(C(CSc2n(c3ccc(Cl)cc3)c([C@H]([NH+](C)C)C)nn2)=O)=C1N,493.0130000000002,0.6690219919972711,9,0.75,3,0.5,9,0.7777777777777778,1,0.5,0.46150000000000035,0.17231553865295654
CCC[NH+](Cc1n(c2nonc2N)nnc1C(N\N=C\c3cc(Br)ccc3)=O)CCC,491.3740000000002,0.6639380874096598,11,0.9166666666666666,3,0.5,9,0.7777777777777778,1,0.5,0.9638000000000013,0.2460149775805807
