SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
c1ccc(CN2N=C(C(NNC(c3cc4c([nH]cn4)cc3)=O)=O)c(c5C2=O)cccc5)cc1,438.44700000000023,0.4997673625112449,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.9139999999999995,0.3854320726811743
CC(Cc1n[nH]c(NC([C@H]2CN(c3n[nH]c(c34)cc(Br)cc4)C(=O)C2)=O)n1)C,446.30900000000014,0.524153974999225,6,0.5,3,0.5,5,0.3333333333333333,0,0.0,1.6698,0.3496020846538485
CC(Cc1n[nH]c(NC([C@@H]2CN(c3n[nH]c(c34)cc(Br)cc4)C(=O)C2)=O)n1)C,446.30900000000014,0.524153974999225,6,0.5,3,0.5,5,0.3333333333333333,0,0.0,1.6698,0.3496020846538485
c1ccc(C2(c3ccccc3)NC(=O)N(NC(CC4=NNC(=O)c(c45)cccc5)=O)C2=O)cc1,453.45800000000014,0.546328980427433,6,0.5,3,0.5,5,0.3333333333333333,0,0.0,1.5104999999999995,0.32622895978590005
Cc1c2c(ccc(C(OCC(NN3C(=O)N[C@@](c4ccccc4)(C)C3=O)=O)=O)c2)[nH]c1C,434.45200000000017,0.48737553894351615,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.9580399999999998,0.39189379533769947
Cc1c2c(ccc(C(OCC(NN3C(=O)N[C@](c4ccccc4)(C)C3=O)=O)=O)c2)[nH]c1C,434.45200000000017,0.48737553894351615,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.9580399999999998,0.39189379533769947
Cc1cc(N2N=C(C(NNC(c3[nH]nc(c4ccccc4)c3)=O)=O)CCC2=O)c(C)cc1,430.4680000000003,0.47501783554080557,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.15564,0.4208864474023989
c1ccc(CN2C(=O)\C(=N/NC(CNC(c3c(O)cccc3)=O)=O)\c(c24)cccc4)cc1,428.44800000000015,0.4687521325103141,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,2.1893000000000002,0.4258251754818412
Cc1c(NC(CNC(c2[nH]nc(c3c(C)n(C)nc3C)c2)=O)=O)ccc(Br)c1,445.3210000000001,0.5210893638140144,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.3845599999999996,0.45447449350893215
CCC(C(=O)NC(n1nc(C)cc1NC(C(N[C@H]2CC(C)(C)C[C@@H](C)C2)=O)=O)=N3)=C3C,428.5370000000003,0.46902819566363824,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.9224399999999988,0.3866704227997272
CCC(C(=O)NC(n1nc(C)cc1NC(C(N[C@H]2CC(C)(C)C[C@H](C)C2)=O)=O)=N3)=C3C,428.5370000000003,0.46902819566363824,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.9224399999999988,0.3866704227997272
CCC(C(=O)NC(n1nc(C)cc1NC(C(N[C@@H]2CC(C)(C)C[C@@H](C)C2)=O)=O)=N3)=C3C,428.5370000000003,0.46902819566363824,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.9224399999999988,0.3866704227997272
CCC(C(=O)NC(n1nc(C)cc1NC(C(N[C@@H]2CC(C)(C)C[C@H](C)C2)=O)=O)=N3)=C3C,428.5370000000003,0.46902819566363824,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.9224399999999988,0.3866704227997272
COc1ccc(CC(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cc1,445.2730000000001,0.5209404758212106,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,1.5889999999999997,0.33774678968002403
COc1cc(C(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)ccc1,431.2460000000001,0.477431061757499,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.6601,0.3481788623611988
COc1ccc(C(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cc1,431.2460000000001,0.477431061757499,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.6600999999999995,0.3481788623611987
Cc1cc(N2N=C(C(NNC(c3[nH]nc(c4ccccc4)c3)=O)=O)CCC2=O)ccc1,416.44100000000026,0.4315084214770938,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.8472199999999996,0.37563384745404566
c1ccc(CN2C(=O)\C(=N/NC(C(Nc3ccc(O)cc3)=O)=O)\c(c24)cccc4)cc1,414.42100000000016,0.4252427184466025,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.3979999999999997,0.45644646336596434
c1ccc(n2nc(C(NNC(Cc3ccc(Br)cc3)=O)=O)c(O)c2)cc1,415.24700000000007,0.4278048326561,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.344099999999999,0.4485380425851581
COc1c(\C=C\C(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cccc1,457.2840000000001,0.5581965941871649,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,2.0596999999999994,0.40680975186045926
CC(N(c1cc(C(F)(F)F)ccc1)N=C(C(NNC(c2[nH]ccc2)=O)=O)C3=O)=C3,405.3360000000001,0.3970625639753098,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.4807199999999996,0.3218595206235177
CC(N(c1c(C(F)(F)F)cccc1)N=C(C(NNC(c2[nH]ccc2)=O)=O)C3=O)=C3,405.3360000000002,0.39706256397531,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.4807199999999996,0.3218595206235177
Cc1cc(OCC(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)ccc1,445.2730000000001,0.5209404758212106,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,1.72512,0.35771885344038273
Cc1ccc(OCC(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cc1,445.27300000000014,0.5209404758212108,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,1.7251199999999998,0.35771885344038273
COc1c(C(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cccc1,431.2460000000001,0.477431061757499,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.6600999999999997,0.34817886236119877
Cc1cn(c2cc1)cc(CSCC(NNC(c3[nH]cc(Br)c3)=O)=O)n2,422.30800000000005,0.4497068767641678,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,1.9458199999999997,0.3901008286968562
Cc1c(OCC(NCC(N\N=C(/C(=O)N2)\c3c2ccc(Br)c3)=O)=O)cccc1,445.2730000000001,0.5209404758212106,8,0.6666666666666666,3,0.5,5,0.3333333333333333,0,0.0,1.72512,0.35771885344038273
CCc1c(NC(c2ccc(C[C@@H]3C(=O)NC(=O)C3)cc2)=O)[nH]nc1c4ccncc4,403.442,0.3911876919259283,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.0096999999999996,0.3994735544756669
c1ccc(c2nn(c3ccccc3)cc2C(NNC(C(C(=O)NC=C4)=C4)=O)=O)cc1,399.41000000000014,0.3786811005304139,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.8204999999999993,0.3717133835716126
C[C@@]1(c2ccccc2)NC(=O)N(NC(CNC(c3cc(Br)ccc3)=O)=O)C1=O,445.2730000000001,0.5209404758212106,7,0.5833333333333334,3,0.5,4,0.2222222222222222,0,0.0,1.6773,0.3507025142615674
C[C@]1(c2ccccc2)NC(=O)N(NC(CNC(c3cc(Br)ccc3)=O)=O)C1=O,445.2730000000001,0.5209404758212106,7,0.5833333333333334,3,0.5,4,0.2222222222222222,0,0.0,1.6773,0.3507025142615674
CCn1c(SCC(Nc2c(Br)cc3c(NC(=O)N3)c2)=O)nnc1C4CC4,437.3230000000002,0.4962809020130904,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.8744999999999998,0.37963647674718837
c1cc(c2cc1)cc(C(NNC(CCN3C(=O)c(c4C3=O)cccc4)=O)=O)c(O)c2,403.39400000000006,0.3910388039331247,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.9926999999999995,0.3969792473648375
Cc1nn(C2=NC3=C(CCCC3)C(=O)N2)c(NC(C(NCc4ccc(Cl)cc4)=O)=O)c1,440.8910000000001,0.5073482428115018,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.5692199999999996,0.3348445899946002
Cc1nn(C2=NC3=C(CCCC3)C(=O)N2)c(NC(C(NCc4c(Cl)cccc4)=O)=O)c1,440.8910000000001,0.5073482428115018,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.5692199999999998,0.3348445899946002
Cc1c2c(N=C(CC(NNC(Cc3c(Cl)cccc3F)=O)=O)NC2=O)sc1C,422.86900000000014,0.45144700518006187,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.8446399999999996,0.37525529966899035
Cc1ccc(N2C(=O)NC(=O)C3=C2NC(=O)[C@@]3(NC(CCc4ccccc4)=O)C(F)(F)F)cc1,472.4230000000002,0.6051552467508303,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.8110199999999992,0.37032244054745594
Cc1ccc(N2C(=O)NC(=O)C3=C2NC(=O)[C@]3(NC(CCc4ccccc4)=O)C(F)(F)F)cc1,472.4230000000002,0.6051552467508303,7,0.5833333333333334,3,0.5,5,0.3333333333333333,0,0.0,1.8110199999999992,0.37032244054745594
C[C@H]1NC(=S)N[C@H](CC(NC[C@@H]2Oc(c3C2)ccc(c4nnc(OC)cc4)c3)=O)C1,427.53000000000014,0.4659046496479424,7,0.5833333333333334,3,0.5,6,0.4444444444444444,0,0.0,1.5868999999999995,0.3374386693898627
