SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
Cc1ccc(C(NC(=O)N2)(NC(=O)N3)C23c4ccc(C)cc4)cc1,322.36800000000005,0.13970966841403287,2,0.16666666666666666,4,0.75,2,0.0,0,0.0,1.93484,0.3884897997511558
[H]N=C1N(C(N)=N[H])[C@H](c2ccccc2)c(c3N1)cc(Cl)cc3,299.76500000000004,0.06959893296938505,2,0.16666666666666666,4,0.75,2,0.0,0,0.0,2.9851400000000012,0.5425939620161042
c1cc([C@@H]2Nc(c3NC4=C2C(=O)NC4)cccc3)c(O)cc1,293.32599999999996,0.04962622910139883,1,0.08333333333333333,4,0.75,4,0.2222222222222222,0,0.0,2.3548,0.4501079888255038
c1cc([C@H]2Nc(c3NC4=C2C(=O)NC4)cccc3)c(O)cc1,293.32599999999996,0.04962622910139883,1,0.08333333333333333,4,0.75,4,0.2222222222222222,0,0.0,2.3548,0.4501079888255038
c1cc2c(NC3=C(C(=O)NC3)[C@H](c4ccc(O)cc4)N2)cc1,293.32599999999996,0.04962622910139883,1,0.08333333333333333,4,0.75,4,0.2222222222222222,0,0.0,2.3548,0.4501079888255038
c1cc2c(NC3=C(C(=O)NC3)[C@@H](c4ccc(O)cc4)N2)cc1,293.32599999999996,0.04962622910139883,1,0.08333333333333333,4,0.75,4,0.2222222222222222,0,0.0,2.3548,0.4501079888255038
CCc1cc2c(NC(=O)[C@]2(O)c3c4c(cccc4)[nH]c3)cc1,292.338,0.04656161791618854,2,0.16666666666666666,3,0.5,2,0.0,0,0.0,2.4364,0.4620806629574849
CCc1cc2c(NC(=O)[C@@]2(O)c3c4c(cccc4)[nH]c3)cc1,292.338,0.04656161791618854,2,0.16666666666666666,3,0.5,2,0.0,0,0.0,2.4364,0.4620806629574849
Cc1cc2c(NC(=O)[C@]2(O)c3c4c(cccc4)[nH]c3)cc1,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1c2c([C@@](O)(c3c4c(cccc4)[nH]c3)C(=O)N2)ccc1,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1[nH]c(c2c1[C@@]3(O)C(=O)Nc(c34)cccc4)cccc2,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1cc2c(NC(=O)[C@@]2(O)c3c4c(cccc4)[nH]c3)cc1,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1[nH]c(c2c1[C@]3(O)C(=O)Nc(c34)cccc4)cccc2,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1c2c([C@](O)(c3c4c(cccc4)[nH]c3)C(=O)N2)ccc1,278.31100000000004,0.0030522038524769296,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.1824199999999996,0.42481571472169366
Cc1c(C)c2c([nH]c(C(N[C@@H]3[C@H](O)Cc(c34)cccc4)=O)c2)cc1,320.39200000000005,0.13358044604361194,3,0.25,3,0.5,2,0.0,0,0.0,2.6909400000000003,0.4994277766039859
CCc1cc2c(NC(=O)[C@@]2(O)c3c4c(cccc4)[nH]c3C)cc1,306.36500000000007,0.09007103197990034,2,0.16666666666666666,3,0.5,2,0.0,0,0.0,2.7448200000000007,0.5073332629058382
CCc1cc2c(NC(=O)[C@]2(O)c3c4c(cccc4)[nH]c3C)cc1,306.36500000000007,0.09007103197990034,2,0.16666666666666666,3,0.5,2,0.0,0,0.0,2.7448200000000007,0.5073332629058382
Cc1c2c([C@](O)(c3c4c(cccc4)[nH]c3C)C(=O)N2)ccc1,292.338,0.04656161791618854,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908399999999995,0.4700683146700468
Cc1cc2c([C@@](O)(c3c4c(cccc4)[nH]c3)C(=O)N2)c(C)c1,292.3380000000001,0.04656161791618872,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908399999999995,0.4700683146700468
Cc1cc2c([C@](O)(c3c4c(cccc4)[nH]c3)C(=O)N2)c(C)c1,292.3380000000001,0.04656161791618872,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908399999999995,0.4700683146700468
Cc1c2c([C@@](O)(c3c4c(cccc4)[nH]c3C)C(=O)N2)ccc1,292.338,0.04656161791618854,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908399999999995,0.4700683146700468
Cc1cc2c(NC(=O)[C@]2(O)c3c4c(cccc4)[nH]c3C)cc1,292.338,0.04656161791618854,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908400000000004,0.4700683146700469
Cc1cc2c(NC(=O)[C@@]2(O)c3c4c(cccc4)[nH]c3C)cc1,292.338,0.04656161791618854,1,0.08333333333333333,3,0.5,2,0.0,0,0.0,2.4908400000000004,0.4700683146700469
Cc1c2c(ccc(C(N[C@@H]3[C@H](O)Cc(c34)cccc4)=O)c2)[nH]c1C,320.39200000000005,0.13358044604361194,3,0.25,3,0.5,2,0.0,0,0.0,2.6909400000000003,0.4994277766039859
Cc1c2c(ccc(C(N[C@H]3[C@H](O)Cc(c34)cccc4)=O)c2)[nH]c1C,320.39200000000005,0.13358044604361194,3,0.25,3,0.5,2,0.0,0,0.0,2.6909400000000003,0.4994277766039859
Cc1cc(c2c(C)c1)NC(=O)C(CNc3cc(O)c(O)cc3)=C2,310.353,0.10244114271534481,3,0.25,4,0.75,4,0.2222222222222222,0,0.0,2.6863400000000013,0.4987528464445851
