SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
Cc1c(NCc2cc(C(N)=O)ccc2)[nH+]c(c3c1)cccc3,292.362,0.04663606191259042,4,0.3333333333333333,2,0.25,2,0.0,1,0.5,2.19142,0.4261362302509563
CC[NH2+]Cc1c(NC(c2c3c(cccc3)oc2)=O)cccc1,295.362,0.055941561462824606,6,0.5,2,0.25,2,0.0,1,0.5,2.7684000000000006,0.5107930135925063
Cc1[nH+]c(c2c(NCC(NC(C)C)=O)c1C(C)C)cccc2,300.426,0.07164924470361982,6,0.5,2,0.25,2,0.0,1,0.5,2.5403200000000004,0.4773282156020374
c1cc2c(c(C[n+]3cc(C(NCO)=O)ccc3)ccc2)cc1,293.346,0.04968826576506717,5,0.4166666666666667,2,0.25,2,0.0,1,0.5,1.8551999999999997,0.37680470455665854
CCNC(CNc1c2c(ccc(Br)c2)[nH+]cc1)=O,309.187,0.09882440522348712,5,0.4166666666666667,2,0.25,2,0.0,1,0.5,1.4825,0.32212068925041637
CCNC(CNc1c2c(cc(C(F)(F)F)cc2)[nH+]cc1)=O,298.288,0.06501752535748631,6,0.5,2,0.25,2,0.0,1,0.5,1.7388,0.35972603704486195
c1ccc(c2ccc(CNc3c4c(nc[nH]4)[nH+]cc3)cc2)cc1,301.37300000000005,0.07458668072831058,4,0.3333333333333333,2,0.25,2,0.0,1,0.5,2.6923000000000004,0.49962732117285225
Cc1c(F)c(C(NCc2cc(NC3CC3)[nH+]cc2)=O)ccc1,300.357,0.07143521821396455,6,0.5,2,0.25,2,0.0,1,0.5,1.97062,0.39373958259971326
C[C@H]([NH2+]Cc1ccc(Cl)cc1)C2=Nc(c3C(=O)N2)cccc3,314.79599999999994,0.11622258754924142,4,0.3333333333333333,2,0.25,2,0.0,1,0.5,1.9191999999999998,0.38619503720919274
C[C@@H]([NH2+]Cc1ccc(Cl)cc1)C2=Nc(c3C(=O)N2)cccc3,314.79599999999994,0.11622258754924142,4,0.3333333333333333,2,0.25,2,0.0,1,0.5,1.9191999999999998,0.38619503720919274
c1ccc(c2nc(NCCC[NH3+])c(c3n2)cccc3)cc1,279.367,0.006327739694159312,5,0.4166666666666667,2,0.25,3,0.1111111111111111,1,0.5,2.3407,0.44803918116299235
CC[NH2+]Cc1c(NC([C@H]2c3c(cccc3)SC2)=O)cccc1,313.446,0.11203511275163631,6,0.5,2,0.25,2,0.0,1,0.5,2.5979,0.48577658051036426
CC[NH2+]Cc1c(NC([C@@H]2c3c(cccc3)SC2)=O)cccc1,313.446,0.11203511275163631,6,0.5,2,0.25,2,0.0,1,0.5,2.5979,0.48577658051036426
CCc1nc(c2c(NC(C[NH2+]C(C)C)=O)c1C)cccc2,286.39899999999994,0.02813983063990802,6,0.5,2,0.25,2,0.0,1,0.5,2.0159199999999995,0.40038617743033506
Cc1cc(NC(C[NH2+]CC(F)(F)F)=O)c(c2c1)nccc2,298.288,0.06501752535748631,6,0.5,2,0.25,2,0.0,1,0.5,1.6074199999999998,0.3404494447965815
c1cc2c(NC(=O)C[C@H]2C[NH2+]C\C=C\c3ccc(C#N)cc3)cc1,318.4,0.1274015943422562,5,0.4166666666666667,2,0.25,2,0.0,1,0.5,2.2608800000000002,0.43632767565790986
c1cc2c(NC(=O)C[C@@H]2C[NH2+]C\C=C\c3ccc(C#N)cc3)cc1,318.4,0.1274015943422562,5,0.4166666666666667,2,0.25,2,0.0,1,0.5,2.2608800000000002,0.43632767565790986
CC[NH2+]Cc1c(NC(c2nc(Cl)ccc2)=O)cccc1,290.774,0.041710350817333056,6,0.5,2,0.25,2,0.0,1,0.5,2.0705999999999998,0.408409042890344
Cc1c(C(N)=O)c(NCCc2ccc(F)cc2)[nH+]c(C)c1,288.34600000000006,0.03417909984801037,5,0.4166666666666667,2,0.25,2,0.0,1,0.5,1.5282399999999998,0.32883184261802434
c1c(Cl)cc(c2c1)[nH+]ccc2NCCNC(C3CC3)=O,290.7740000000001,0.04171035081733341,6,0.5,2,0.25,2,0.0,1,0.5,1.7634999999999994,0.3633501185529493
