SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
COc1ccc(C[NH2+][C@@H](C(Nc2sccn2)=O)c3ccccc3)cc1,354.4550000000001,0.23923818977015449,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,2.5951000000000004,0.48536575345681593
COc1ccc(C[NH2+][C@H](C(Nc2sccn2)=O)c3ccccc3)cc1,354.4550000000001,0.23923818977015449,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,2.5951000000000004,0.48536575345681593
CC(Nc1nc(NCc2c(OC)cc(OC)cc2)[nH+]c(c13)cccc3)C,353.4460000000001,0.23610844008809234,7,0.5833333333333334,2,0.25,5,0.3333333333333333,1,0.5,3.0166000000000013,0.5472098974106157
CC(Nc1nc(NCCc2cc(OC)ccc2)[nH+]c(c13)cccc3)C,337.4470000000001,0.18648221098669351,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.0505000000000013,0.5521838392375048
CC(Nc1nc(NCCc2ccc(OC)cc2)[nH+]c(c13)cccc3)C,337.4470000000001,0.18648221098669351,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.0505000000000013,0.5521838392375048
CC(Nc1nc(NCCc2c(OC)cccc2)[nH+]c(c13)cccc3)C,337.4470000000001,0.18648221098669351,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.0505000000000013,0.5521838392375048
COc1c(CNc2nc(NCC=C)[nH+]c(c23)cccc3)cccc1,321.404,0.1367195012252241,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,2.7856000000000014,0.5133166654928749
COc1c(CNc2nc(NCC=C)c(c3[nH+]2)cccc3)cccc1,321.404,0.1367195012252241,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,2.7856000000000014,0.5133166654928749
C[C@H]([NH2+]Cc1ccc(NC(OC)=O)cc1)c2cnc3c(scc3)c2,342.444,0.20198207140419994,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.299200000000001,0.588674085029462
C[C@@H]([NH2+]Cc1ccc(NC(OC)=O)cc1)c2cnc3c(scc3)c2,342.444,0.20198207140419994,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.299200000000001,0.588674085029462
CCCNc1nc(NCc2ccc(OC)cc2)[nH+]c(c13)cccc3,323.4200000000001,0.14297279692298173,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.0096000000000016,0.5461828297767447
CCCNc1nc(NCc2c(OC)cccc2)[nH+]c(c13)cccc3,323.4200000000001,0.14297279692298173,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,3.0096000000000016,0.5461828297767447
CC(COc1ccc(c2nn(c3ccccc3)cc2CSC(N)=[NH2+])cc1)C,381.52500000000015,0.32320481404510115,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,2.881100000000001,0.5273288024978282
CCCNc1nc(NCCc2c(OC)cccc2)[nH+]c(c13)cccc3,337.44700000000006,0.18648221098669335,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,3.052100000000001,0.5524185975538182
CCCNc1nc(NCCc2ccc(OC)cc2)[nH+]c(c13)cccc3,337.44700000000006,0.18648221098669335,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,3.052100000000001,0.5524185975538182
CCCNc1nc(NCCc2cc(OC)ccc2)[nH+]c(c13)cccc3,337.44700000000006,0.18648221098669335,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,3.052100000000001,0.5524185975538182
CCCCNc1nc(NCc2c(OC)cccc2)c(c3[nH+]1)cccc3,337.447,0.18648221098669315,8,0.6666666666666666,2,0.25,4,0.2222222222222222,1,0.5,3.399700000000002,0.6034198417728948
COc1c(CNc2nc(NC3CCCC3)c(c4[nH+]2)cccc4)cccc1,349.45799999999997,0.22373832935264734,6,0.5,2,0.25,4,0.2222222222222222,1,0.5,3.542200000000002,0.6243280043195529
COc1c(CNc2nc(NC3CCCC3)[nH+]c(c24)cccc4)cccc1,349.45799999999997,0.22373832935264734,6,0.5,2,0.25,4,0.2222222222222222,1,0.5,3.542200000000002,0.6243280043195529
COc1ccc(CNc2[nH+]cccc2C(Nc3c(Cl)nccc3)=O)cc1,369.83200000000005,0.2869350786314714,7,0.5833333333333334,2,0.25,4,0.2222222222222222,1,0.5,2.940200000000001,0.5360001878066528
